backbone,controls,unc_scale,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
ViT-B/16,baseline,1.0,5.0,0.9,0.999,3,OOD,ImageNet-A,60.43,673.41
ViT-B/16,baseline,1.0,5.0,0.9,0.999,3,cross-domain,DTD,44.98,24.15
