backbone,controls,unc_scale,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,decay_margin_momentum_unc,0.7,5.0,0.9,0.999,3,OOD,ImageNet-A,30.88,623.12
RN50,decay_margin_momentum_unc,0.7,5.0,0.9,0.999,3,cross-domain,DTD,42.43,17.49
