backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
ViT-B/16,decay,5.0,0.9,1.0,3,OOD,ImageNet-A,60.43,663.22
ViT-B/16,decay,5.0,0.9,1.0,3,cross-domain,DTD,44.98,24.17
