backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,momentum,5.0,0.95,0.999,3,OOD,ImageNet-A,30.87,647.41
RN50,momentum,5.0,0.95,0.999,3,cross-domain,DTD,42.97,17.07
