backbone,controls,unc_scale,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
ViT-B/16,unc,0.5,5.0,0.9,0.999,3,OOD,ImageNet-A,60.32,589.39
ViT-B/16,unc,0.5,5.0,0.9,0.999,3,cross-domain,DTD,44.86,23.44
