backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
ViT-B/16,baseline,5.0,0.9,0.999,1,OOD,ImageNet-A,60.11,728.19
ViT-B/16,baseline,5.0,0.9,0.999,1,cross-domain,DTD,44.92,22.78
