backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,momentum,5.0,0.7,0.999,3,OOD,ImageNet-A,30.68,534.13
RN50,momentum,5.0,0.7,0.999,3,cross-domain,DTD,42.85,18.06
