backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,baseline,5.0,0.9,0.999,5,OOD,ImageNet-A,31.0,720.06
RN50,baseline,5.0,0.9,0.999,5,cross-domain,DTD,43.85,20.05
