backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
ViT-B/16,baseline,5.0,0.9,0.999,8,OOD,ImageNet-A,60.48,667.76
ViT-B/16,baseline,5.0,0.9,0.999,8,cross-domain,DTD,44.39,20.5
