backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
ViT-B/16,decay,5.0,0.9,0.999,3,OOD,ImageNet-A,60.43,710.3
ViT-B/16,decay,5.0,0.9,0.999,3,cross-domain,DTD,44.92,24.08
