backbone,type,dataset,accuracy
RN50,cross-domain,Caltech101,89.49
RN50,cross-domain,DTD,43.56
RN50,cross-domain,EuroSAT,41.46
RN50,cross-domain,FGVC-Aircraft,17.19
RN50,cross-domain,Food101,77.81
RN50,cross-domain,Flowers102,67.8
RN50,cross-domain,OxfordPets,86.1
RN50,cross-domain,StanfordCars,57.6
RN50,cross-domain,SUN397,62.56
RN50,cross-domain,UCF101,64.23
