backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,baseline,5.0,0.9,0.999,8,OOD,ImageNet-A,30.84,738.72
RN50,baseline,5.0,0.9,0.999,8,cross-domain,DTD,42.91,21.18
