backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,decay,5.0,0.9,0.95,3,OOD,ImageNet-A,31.0,655.44
RN50,decay,5.0,0.9,0.95,3,cross-domain,DTD,43.2,19.62
