backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,baseline,5.0,0.9,0.999,2,OOD,ImageNet-A,30.91,663.9
RN50,baseline,5.0,0.9,0.999,2,cross-domain,DTD,43.85,16.72
