backbone,controls,unc_scale,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
ViT-B/16,decay_margin_momentum_unc,0.7,5.0,0.9,0.999,3,OOD,ImageNet-A,59.94,391.83
ViT-B/16,decay_margin_momentum_unc,0.7,5.0,0.9,0.999,3,cross-domain,DTD,44.27,6.41
