backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,baseline,5.0,0.9,0.999,1,OOD,ImageNet-A,30.85,428.53
RN50,baseline,5.0,0.9,0.999,1,cross-domain,DTD,43.79,17.5
