backbone,controls,unc_scale,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,unc,0.5,5.0,0.9,0.999,3,OOD,ImageNet-A,30.97,520.57
RN50,unc,0.5,5.0,0.9,0.999,3,cross-domain,DTD,43.62,18.7
