backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,decay,5.0,0.9,0.999,3,OOD,ImageNet-A,30.98,665.08
RN50,decay,5.0,0.9,0.999,3,cross-domain,DTD,43.5,19.86
