backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
ViT-B/16,margin,20.0,0.9,0.999,3,OOD,ImageNet-A,60.14,533.42
ViT-B/16,margin,20.0,0.9,0.999,3,cross-domain,DTD,44.62,21.89
