backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
ViT-B/16,momentum,5.0,0.7,0.999,3,OOD,ImageNet-A,60.06,817.94
ViT-B/16,momentum,5.0,0.7,0.999,3,cross-domain,DTD,44.74,22.5
