backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,decay,5.0,0.9,0.99,3,OOD,ImageNet-A,31.01,610.61
RN50,decay,5.0,0.9,0.99,3,cross-domain,DTD,43.38,20.23
