backbone,controls,unc_scale,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
ViT-B/16,unc,1.0,5.0,0.9,0.999,3,OOD,ImageNet-A,60.27,661.29
ViT-B/16,unc,1.0,5.0,0.9,0.999,3,cross-domain,DTD,44.68,23.05
