backbone,controls,margin_thresh,momentum,decay_factor,shot_capacity,type,dataset,accuracy,latency_ms
RN50,baseline,5.0,0.9,0.999,3,OOD,ImageNet-A,30.98,639.63
RN50,baseline,5.0,0.9,0.999,3,cross-domain,DTD,43.56,18.6
